,Accuracy,Precision,Recall,F1_Score,Avg_Confidence,Hallucination_Count,Avg_BLEU,Avg_ROUGE
mistral_base,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0
mistral_ft,0.26666666666666666,1.0,0.26666666666666666,0.42105263157894735,1.1333333333333333,18.0,0.0,0.0
groq_base,0.6666666666666666,1.0,0.6666666666666666,0.8,2.566666666666667,1.0,0.014942158874224867,0.15624448452145395
groq_few_shot,0.6333333333333333,1.0,0.6333333333333333,0.7755102040816326,2.5,1.0,0.015026164796958934,0.15105221482332984
groq_rag,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091,2.8666666666666667,0.0,0.004106263511905409,0.0688427130909339
